 ,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
1,GFP_D10_Con_P1.tif:0165-0625,4659,120.455,7.988,122,94,147,644.084,120
2,GFP_D10_Con_P1.tif:0436-0340,4507,124.481,7.274,122,102,149,620.831,124
3,GFP_D10_Con_P1.tif:0506-0885,5372,127.388,7.946,127,101,155,645.32,127
4,GFP_D10_Con_P1.tif:Background,152904,115.491,5.855,115,90,142,1658,116
5,GFP_D10_Con_P2.tif:0199-0981,5071,145.833,8.692,145,120,178,610.853,145
6,GFP_D10_Con_P2.tif:0701-0629,4938,139.408,7.93,141,115,165,618.126,139
7,GFP_D10_Con_P2.tif:Background,208000,132.901,6.964,132,86,196,2416,133
8,GFP_D10_Con_P3.tif:0458-0947,5715,135.877,8.377,134,111,169,624.503,135
9,GFP_D10_Con_P3.tif:0610-0393,4407,124.406,7.689,122,99,164,616.144,124
10,GFP_D10_Con_P3.tif:Background,164456,121.727,5.665,121,100,190,1650,122
11,GFP_D10_Con_P4.tif:0555-0736,4859,137.987,6.575,140,112,159,570.155,138
12,GFP_D10_Con_P4.tif:0671-0591,4981,133.73,7.291,135,109,159,632.922,134
13,GFP_D10_Con_P4.tif:Background,111328,124.407,5.78,124,99,181,1352,124
14,GFP_D10_Con_P5.tif:0344-1179,5723,143.214,7.709,143,118,171,734.934,143
15,GFP_D10_Con_P5.tif:0390-0909,4797,151.869,10.172,154,116,186,612.458,152
16,GFP_D10_Con_P5.tif:0844-0685,4932,138.748,6.997,138,116,164,583.019,139
17,GFP_D10_Con_P5.tif:Background,156480,133.113,6.191,134,101,193,1618,133
18,GFP_D10_CR_P1.tif:0580-0492,3406,118.783,6.745,119,97,136,518.419,119
19,GFP_D10_CR_P1.tif:0774-0769,3922,117.065,8.49,117,92,148,576.141,117
20,GFP_D10_CR_P1.tif:Background,64752,103.57,4.578,104,85,125,1024,104
21,GFP_D10_CR_P2.tif:0164-0889,2715,107.406,6.09,105,87,131,410.669,107
22,GFP_D10_CR_P2.tif:0844-1092,3515,103.482,7.706,104,82,141,469.269,103
23,GFP_D10_CR_P2.tif:Background,188034,97.671,4.658,98,75,118,1762,98
24,GFP_D10_CR_P3.tif:0322-1253,3362,115.125,8.624,112,92,148,534.151,115
25,GFP_D10_CR_P3.tif:0783-0569,3523,114.9,6.624,116,94,141,508.582,115
26,GFP_D10_CR_P3.tif:Background,420538,104.609,5.037,104,75,159,2618,105
27,GFP_D10_CR_P3.tif:0881-0061,3003,98.089,6.634,95,80,128,504.764,98
28,GFP_D10_CR_P3.tif:Background,3296,86.208,3.891,85,75,104,270,86
29,GFP_D10_CR_P4.tif:0529-0954,3156,97.121,6.109,96,79,116,495.535,97
30,GFP_D10_CR_P4.tif:0676-0376,3284,88.149,6.14,85,70,109,483.573,88
31,GFP_D10_CR_P4.tif:Background,212790,85.89,4.528,86,66,132,1858,86
32,GFP_D10_CR_P5.tif:0403-0692,3354,118.512,7.548,119,88,141,472.263,119
33,GFP_D10_CR_P5.tif:0645-0455,3512,109.907,7.346,110,87,136,511.25,110
34,GFP_D10_CR_P5.tif:Background,92106,104.657,4.897,104,84,133,1214,105
35,GFP_D10_MET+CR_P1.tif:0682-0363,2955,91.872,5.925,90,74,110,482.551,92
36,GFP_D10_MET+CR_P1.tif:0523-0976,3059,100.79,6.099,100,82,119,502.38,101
37,GFP_D10_MET+CR_P1.tif:Background,119075,89.68,4.235,90,66,128,1416,90
38,GFP_D10_MET+CR_P2_1.tif:0553-0687,2418,96.541,6.737,96,77,125,391.699,97
39,GFP_D10_MET+CR_P2_1.tif:Background,35997,82.467,3.919,82,66,98,764,82
40,GFP_D10_MET+CR_P2_2.tif:0758-0600,2584,90.131,5.677,87,71,107,420.281,90
41,GFP_D10_MET+CR_P2_2.tif:Background,61544,79.87,3.699,80,65,99,1020,80
42,GFP_D10_MET+CR_P3.tif:0236-0787,3167,87.994,5.825,87,69,107,487.169,88
43,GFP_D10_MET+CR_P3.tif:0517-0542,4044,83.315,6.335,81,65,106,563.137,83
44,GFP_D10_MET+CR_P3.tif:0851-0752,3289,82.032,5.463,82,64,100,514.99,82
45,GFP_D10_MET+CR_P3.tif:Background,118976,79.027,4.211,79,60,121,1404,79
46,GFP_D10_MET+CR_P4.tif:0219-0572,2580,74.549,4.127,75,58,87,419.695,75
47,GFP_D10_MET+CR_P4.tif:0361-0741,2934,77.544,4.362,77,65,90,487.33,78
48,GFP_D10_MET+CR_P4.tif:Background,49434,69.969,3.319,70,57,84,890,70
49,GFP_D10_MET+CR_P5_1.tif:0351-0793,2694,89.436,6.42,87,69,111,463.376,89
50,GFP_D10_MET+CR_P5_1.tif:Background,56876,79.295,3.809,80,61,97,954,79
51,GFP_D10_MET+CR_P5_2.tif:0646-0685,2886,91.963,7.292,93,69,115,394.652,92
52,GFP_D10_MET+CR_P5_2.tif:Background,31800,80.524,3.902,81,65,109,724,80
