Batch,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
2,GFP_D6_CR_P2.tif:0119-0391,3549,27.735,2.951,28,19,37,567.104,28
2,GFP_D6_CR_P2.tif:0602-0298,3121,27.911,3.027,28,18,42,545.382,28
2,GFP_D6_CR_P2.tif:0885-1020,3017,29.342,3.181,29,20,40,542.567,29
2,GFP_D6_CR_P2.tif:Background,101548,25.69,2.38,26,16,52,2128,26
2,GFP_D6_MET_P1.tif:0497-0672,4610,41.889,3.282,42,30,53,687.396,42
2,GFP_D6_MET_P1.tif:0798-0611,3835,41.416,3.502,41,30,58,526.621,41
2,GFP_D6_MET_P1.tif:0771-0627,4358,41.514,3.169,42,30,56,635.621,42
2,GFP_D6_MET_P1.tif:0828-1028,4254,41.998,3.932,42,31,137,608.498,42
2,GFP_D6_MET_P1.tif:Background,78396,37.629,2.677,37,27,49,1210,38
2,GFP_D6_MET_P5.tif:0710-0377,5660,42.543,3.2,42,31,52,687.707,42
2,GFP_D6_MET_P5.tif:0139-0729,5207,42.694,3.19,42,31,53,648.985,43
2,GFP_D6_MET_P5.tif:0302-0865,5146,43.661,3.112,44,31,55,669.877,44
2,GFP_D6_MET_P5.tif:Background,196656,40.342,2.808,40,29,93,2114,40
2,GFP_D10_Con_P2.tif:0694-0619,5536,137.692,8.461,136,111,165,708.397,138
2,GFP_D10_Con_P2.tif:0194-0983,5736,144.673,9.452,143,114,178,698.019,144
2,GFP_D10_Con_P2.tif:Background,200928,134.411,6.577,135,108,196,2018,134
2,GFP_D10_NMN+CR_P3.tif:0526-0323,2924,62.116,4.407,63,47,75,501.055,63
2,GFP_D10_NMN+CR_P3.tif:Background,14040,56.446,4.588,55,43,74,628,56
2,GFP_D10_NMN+CR_P3.tif:0664-0477,3960,66.256,5.58,64,50,86,590.346,66
2,GFP_D10_NMN+CR_P3.tif:0275-0923,3540,72.853,5.072,73,53,89,562.243,73
2,GFP_D10_NMN+CR_P3.tif:Background,62850,66.325,3.835,67,51,89,1138,66
2,GFP_D13_MET_P4.tif:0566-0275,5976,68.189,4.61,66,55,88,765.171,68
2,GFP_D13_MET_P4.tif:0729-0781,6092,72.016,5.188,73,52,89,698.085,72
2,GFP_D13_MET_P4.tif:0437-1092,4418,70.703,4.666,71,55,86,650.475,71
2,GFP_D13_MET_P4.tif:Background,149310,67.229,3.874,67,50,153,1734,67
2,GFP_D13_MET+NMN_P1.tif:0833-0264,3943,72.846,5.612,72,59,95,573.944,72
2,GFP_D13_MET+NMN_P1.tif:0832-0616,4476,82.368,5.477,81,66,104,616.353,82
2,GFP_D13_MET+NMN_P1.tif:0872-0727,4712,81.026,4.91,80,66,96,623.332,81
2,GFP_D13_MET+NMN_P1.tif:Background,59535,71.22,3.749,71,57,94,1008,71
