GroupNum,Group,Ind_vs_Comb,Plate,Worm,PlateGroup,MET ,NMN,CR,Time,Censoring,NaturalDeath,Contam_Level,Contam_Level_Binary,Contam_Type
1,Control,Control,1,1,1,0,0,0,4,1,0,None,Low,None
1,Control,Control,1,2,1,0,0,0,4,1,0,None,Low,None
1,Control,Control,1,3,1,0,0,0,15,0,1,None,Low,None
1,Control,Control,1,4,1,0,0,0,16,0,1,None,Low,None
1,Control,Control,1,5,1,0,0,0,19,0,1,None,Low,None
1,Control,Control,1,6,1,0,0,0,19,0,1,None,Low,None
1,Control,Control,1,7,1,0,0,0,19,0,1,None,Low,None
1,Control,Control,1,8,1,0,0,0,19,0,1,None,Low,None
1,Control,Control,1,9,1,0,0,0,19,0,1,None,Low,None
1,Control,Control,1,10,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,11,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,12,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,13,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,14,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,15,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,16,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,17,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,18,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,19,1,0,0,0,21,0,1,None,Low,None
1,Control,Control,1,20,1,0,0,0,24,0,1,None,Low,None
1,Control,Control,2,21,2,0,0,0,7,1,0,None,Low,None
1,Control,Control,2,22,2,0,0,0,15,0,1,None,Low,None
1,Control,Control,2,23,2,0,0,0,18,0,1,None,Low,None
1,Control,Control,2,24,2,0,0,0,19,0,1,None,Low,None
1,Control,Control,2,25,2,0,0,0,19,0,1,None,Low,None
1,Control,Control,2,26,2,0,0,0,19,0,1,None,Low,None
1,Control,Control,2,27,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,28,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,29,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,30,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,31,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,32,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,33,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,34,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,35,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,36,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,37,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,38,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,39,2,0,0,0,21,0,1,None,Low,None
1,Control,Control,2,40,2,0,0,0,24,0,1,None,Low,None
1,Control,Control,3,41,3,0,0,0,4,1,0,None,Low,None
1,Control,Control,3,42,3,0,0,0,4,1,0,None,Low,None
1,Control,Control,3,43,3,0,0,0,17,0,1,None,Low,None
1,Control,Control,3,44,3,0,0,0,18,0,1,None,Low,None
1,Control,Control,3,45,3,0,0,0,21,0,1,None,Low,None
1,Control,Control,3,46,3,0,0,0,21,0,1,None,Low,None
1,Control,Control,3,47,3,0,0,0,21,0,1,None,Low,None
