Order,Cat,Day,Group,Plate,Worm,File,Track ,Length,Distance,#Frames,1stFrame,time(s),MaxSpeed,AvgArea,StdArea,AvgPerim,StdPerim,AvgSpeed,BLPS,avgX,avgY
118,1,8,MET+CR,4,2,D8_MET+CR_P4_2,1,3.4414818,3.0809457,757,0,30.28,0.308085582,0.031924855,4.97E-04,1.7193836,0.05319771,0.11365528,0.13220468,2.552562,2.2824726
53,1,4,MET+NMN+CR,2,1,D4_MET+NMN+CR_P2_1,2,3.0030673,2.9317513,707,0,28.28,0.36618032,0.03950642,9.87E-04,1.9183284,0.033611022,0.1061905,0.11071149,2.605107,1.9594504
200,1,12,MET+CR,5,1,D12_MET+CR_P5_1,1,3.061029,2.5485363,747,0,29.88,0.294451159,0.027347948,7.73E-04,1.6385202,0.064013004,0.102444075,0.12504463,3.9134336,1.8534317
51,1,4,MET+NMN+CR,1,1,D4_MET+NMN+CR_P1_1,1,2.636409,2.5350857,755,0,30.2,0.296444958,0.032873735,4.14E-04,1.6487255,0.032005597,0.08729831,0.10589793,2.859638,1.7902876
20,1,4,CR,5,2,D4_CR_P5_2,1,2.4645753,2.3398147,742,0,29.68,0.222225115,0.030324798,4.15E-04,1.5461209,0.029641422,0.08303825,0.10741495,4.100719,1.504562
74,1,4,NMN+CR,2,2,D4_NMN+CR_P2_2,1,2.895001,2.3293254,735,0,29.4,0.331873656,0.035224583,5.53E-04,1.7649021,0.04856223,0.09846942,0.11158627,1.7151496,2.6344562
52,1,4,MET+NMN+CR,1,2,D4_MET+NMN+CR_P1_2,2,2.8313599,2.2937198,753,0,30.12,0.442484347,0.03546851,4.75E-04,1.8041594,0.076475866,0.09400265,0.10420659,4.279039,1.8213704
120,1,8,MET+CR,5,2,D8_MET+CR_P5_2,1,2.3645604,2.2100554,744,0,29.76,0.249555847,0.028648755,4.05E-04,1.6616532,0.07766872,0.07945432,0.09563285,2.7085068,1.8447537
36,1,4,MET+CR,3,2,D4_MET+CR_P3_2,1,2.817188,2.1561868,733,0,29.32,0.330456952,0.028556764,5.47E-04,1.6227536,0.059149724,0.09608418,0.11842115,3.1198387,2.0482678
173,1,12,CR,2,1,D12_CR_P2_1,1,2.9609084,1.9431491,740,0,29.6,0.326191378,0.028536132,8.85E-04,1.7098122,0.099282674,0.10003069,0.117007814,3.9259243,1.3919365
16,1,4,CR,3,2,D4_CR_P3_2,1,2.7425196,1.9020556,750,0,30,0.25573289,0.030606953,4.33E-04,1.5436118,0.038549375,0.09141732,0.118446,2.3445885,1.7798631
60,1,4,MET+NMN+CR,5,2,D4_MET+NMN+CR_P5_2,1,2.043572,1.8809434,750,0,30,0.255271047,0.035512827,4.62E-04,1.772511,0.094413914,0.068119064,0.07686166,4.332277,1.6864353
97,1,8,CR,4,1,D8_CR_P4_1,1,2.0310156,1.8153845,753,0,30.12,0.221099681,0.030208576,3.71E-04,1.6258036,0.051219612,0.067430794,0.082950726,3.148884,2.3912835
116,1,8,MET+CR,3,2,D8_MET+CR_P3_2,1,2.0095723,1.7973565,762,0,30.48,0.27522915,0.033405885,3.90E-04,1.7157012,0.04273244,0.06593085,0.07685586,3.2322035,1.1055127
75,1,4,NMN+CR,3,1,D4_NMN+CR_P3_1,1,1.9158645,1.756869,757,0,30.28,0.179879391,0.03375421,4.63E-04,1.6392313,0.04853756,0.06327161,0.07719669,2.1513855,2.1737425
61,1,4,NMN,1,1,D4_NMN_P1_1,1,1.8381772,1.7390181,737,0,29.48,0.190214021,0.038099844,4.23E-04,1.8924229,0.03842862,0.062353365,0.06589792,3.87491,1.6852165
117,1,8,MET+CR,4,1,D8_MET+CR_P4_1,1,1.7504627,1.650978,756,0,30.24,0.199120073,0.030529657,4.17E-04,1.7175667,0.075446926,0.057885673,0.06740428,3.221664,1.4088951
73,1,4,NMN+CR,2,1,D4_NMN+CR_P2_1,1,1.8245013,1.6135899,733,0,29.32,0.207408564,0.0354832,3.34E-04,1.8343208,0.060688764,0.062227193,0.06784767,2.4820054,1.0450159
100,1,8,CR,5,2,D8_CR_P5_2,1,2.1943045,1.6034168,751,0,30.04,0.951274019,0.033277925,0.001261059,1.7988553,0.17913727,0.07304609,0.081213966,3.0307977,1.9178638
180,1,12,CR,5,2,D12_CR_P5_2,1,2.0008307,1.5965643,743,0,29.72,0.283151004,0.030027661,6.45E-04,1.6525565,0.05758441,0.0673227,0.08147703,2.0914047,1.8044764
28,1,4,MET,4,2,D4_MET_P4_2,1,1.667058,1.5895038,751,0,30.04,0.187304406,0.04072734,3.58E-04,1.9553648,0.06214606,0.055494606,0.056761384,2.498449,1.8505843
22,1,4,MET,1,2,D4_MET_P1_2,1,2.1569555,1.5766674,746,0,29.84,0.276567368,0.03927432,4.89E-04,1.9850476,0.057392452,0.07228403,0.07282851,3.8274667,2.1234038
34,1,4,MET+CR,2,2,D4_MET+CR_P2_2,1,1.6889259,1.5716481,741,0,29.64,0.236928579,0.026137292,2.99E-04,1.4701623,0.07101845,0.056981303,0.077517025,3.83371,1.2362379
58,1,4,MET+NMN+CR,4,2,D4_MET+NMN+CR_P4_2,1,1.703364,1.5342084,756,0,30.24,0.191243226,0.040371366,4.41E-04,1.8787713,0.04490397,0.056328174,0.05996278,3.0695953,2.3451746
255,1,15,CR,2,2,D15_CR_P2_2,1,1.7705752,1.4959913,741,0,29.64,0.257221772,0.025692906,7.47E-04,1.643369,0.11932089,0.059736006,0.07269945,2.9924984,2.0307117
59,1,4,MET+NMN+CR,5,1,D4_MET+NMN+CR_P5_1,1,1.6256981,1.4829872,751,0,30.04,0.194365869,0.040547606,3.50E-04,1.8750464,0.05292556,0.05411778,0.057724204,1.1069685,1.7200586
12,1,4,CR,1,2,D4_CR_P1_2,1,1.7794625,1.4669987,717,0,28.68,0.244976673,0.030901402,5.74E-04,1.6303079,0.11509507,0.062045414,0.07611497,3.6501803,1.1358728
63,1,4,NMN,2,1,D4_NMN_P2_1,1,1.5657183,1.3989785,744,0,29.76,0.196182914,0.03389648,6.36E-04,1.6339223,0.054478213,0.052611504,0.06439903,2.1281326,1.8699052
10,1,4,Control,5,2,D4_Con_P5_2,1,1.4681089,1.3559757,740,0,29.6,0.202712859,0.04152597,4.00E-04,1.8966277,0.03866387,0.049598273,0.052301537,2.577374,1.173396
89,1,8,Control,5,1,D8_Con_P5_1,1,1.4908571,1.344126,753,0,30.12,0.231232098,0.04476462,5.99E-04,2.019368,0.059454426,0.04949725,0.049022518,2.978138,1.9668905
38,1,4,MET+CR,4,2,D4_MET+CR_P4_2,1,1.8715359,1.334052,743,0,29.72,0.278110919,0.027108131,4.32E-04,1.5487942,0.053842954,0.06297227,0.081317805,1.8084642,2.0024827
40,1,4,MET+CR,5,2,D4_MET+CR_P5_2,1,1.5489004,1.3096597,746,0,29.84,0.175460672,0.027466742,3.81E-04,1.6273763,0.054182418,0.05190685,0.063792065,2.3130748,2.7842007
178,1,12,CR,4,2,D12_CR_P4_2,1,1.4596875,1.3001597,751,0,30.04,0.705394335,0.030788628,9.43E-04,1.6303606,0.10170447,0.048591457,0.059608236,3.2944646,1.6553007
99,1,8,CR,5,1,D8_CR_P5_1,1,1.664531,1.2991862,737,0,29.48,0.247816625,0.029608844,5.66E-04,1.6850376,0.05943193,0.05646306,0.067016974,3.3178804,1.9174887
