 ,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
1,mCherry_D10_Con_P1.tif:0432-0332,7286,13.04,1.914,13,6,23,709.156,13
2,mCherry_D10_Con_P1.tif:0160-0649,6736,12.859,1.902,13,6,20,665.719,13
3,mCherry_D10_Con_P1.tif:0499-0882,5304,13.442,1.914,13,7,21,655.08,13
4,mCherry_D10_Con_P1.tif:Background,73953,11.923,1.696,12,5,19,1988,12
5,mCherry_D10_Con_P1.tif:0962-0504,3671,12.274,1.99,12,6,22,575.179,12
6,mCherry_D10_Con_P1.tif:Background,15184,10.947,1.68,11,5,34,562,11
7,mCherry_D10_Con_P2.tif:0600-0751,4337,13.784,2.017,14,7,21,580.813,14
8,mCherry_D10_Con_P2.tif:0151-0919,4814,14.48,2.141,15,7,31,597.184,14
9,mCherry_D10_Con_P2.tif:Background,75614,12.884,1.788,13,5,74,1290,13
10,mCherry_D10_Con_P3.tif:0610-0347,3527,13.156,2.183,14,6,30,546.324,13
11,mCherry_D10_Con_P3.tif:0442-0957,6818,13.896,1.936,14,7,22,652.559,14
12,mCherry_D10_Con_P3.tif:Background,101380,12.188,1.756,12,5,59,1666,12
13,mCherry_D10_Con_P4.tif:0670-0558,4799,13.604,1.94,13,7,20,611.548,14
14,mCherry_D10_Con_P4.tif:0711-0834,4799,14.035,1.997,14,7,22,611.332,14
15,mCherry_D10_Con_P4.tif:Background,77763,12.46,1.771,12,6,56,1352,12
16,mCherry_D10_Con_P5.tif:0813-0841,5538,14.041,1.98,14,8,22,678.177,14
17,mCherry_D10_Con_P5.tif:0460-0929,4661,15.634,2.427,15,7,26,567.06,15
18,mCherry_D10_Con_P5.tif:Background,80190,13.047,1.787,13,6,70,1206,13
19,mCherry_D10_CR_P1.tif:0394-0287,4608,12.286,1.936,12,5,19,584.588,12
20,mCherry_D10_CR_P1.tif:0779-0767,4132,13.227,2.314,13,6,24,598.157,13
21,mCherry_D10_CR_P1.tif:Background,231420,11.072,1.719,11,4,26,1942,11
22,mCherry_D10_CR_P2.tif:0070-0731,2337,13.657,2.132,13,7,22,465.064,14
23,mCherry_D10_CR_P2.tif:0853-1111,3090,13.147,2.186,13,7,21,503.41,13
24,mCherry_D10_CR_P2.tif:Background,316374,11.39,1.693,11,4,59,2378,11
25,mCherry_D10_CR_P3.tif:0824-0348,3179,12.591,2.067,12,6,22,514.113,12
26,mCherry_D10_CR_P3.tif:0243-1244,3332,13.897,2.233,14,6,22,513.743,14
27,mCherry_D10_CR_P3.tif:Background,204516,11.376,1.772,11,2,24,2934,11
28,mCherry_D10_CR_P4.tif:0720-0383,2944,12.632,1.997,13,7,21,498.943,13
29,mCherry_D10_CR_P4.tif:0491-1089,3355,14.514,2.305,14,6,23,543.076,14
30,mCherry_D10_CR_P4.tif:Background,158594,11.775,1.787,12,4,67,2130,12
31,mCherry_D10_CR_P5.tif:0750-0450,3502,11.893,2.086,11,6,24,532.724,12
32,mCherry_D10_CR_P5.tif:0391-0666,3073,12.956,2.09,13,7,22,473.909,13
33,mCherry_D10_CR_P5.tif:Background,87329,10.622,1.674,11,3,18,1308,11
34,mCherry_D10_MET+CR_P1.tif:0851-0315,2554,11.852,1.979,12,6,21,481.913,12
35,mCherry_D10_MET+CR_P1.tif:0660-0769,2790,13.206,1.993,13,7,21,532.22,13
36,mCherry_D10_MET+CR_P1.tif:Background,122204,10.783,1.649,11,4,19,1440,11
37,mCherry_D10_MET+CR_P2_1.tif:0558-0704,2680,13.367,2.437,13,6,25,451.141,13
38,mCherry_D10_MET+CR_P2_1.tif:Background,9486,10.735,1.627,11,5,17,390,11
39,mCherry_D10_MET+CR_P2_2.tif:0874-0649,2457,11.639,1.964,11,5,21,488.21,12
40,mCherry_D10_MET+CR_P2_2.tif:Background,15960,10.15,1.614,10,4,21,572,10
41,mCherry_D10_MET+CR_P3.tif:0235-0716,2681,13.302,2.161,13,7,22,455.544,13
42,mCherry_D10_MET+CR_P3.tif:0488-0561,3970,12.618,2.19,12,7,24,614.934,13
43,mCherry_D10_MET+CR_P3.tif:Background,48720,11.171,1.643,11,5,19,976,11
44,mCherry_D10_MET+CR_P4.tif:0800-0202,2817,9.979,1.706,10,4,16,506.837,10
45,mCherry_D10_MET+CR_P4.tif:0240-0586,3346,10.673,1.845,11,4,18,506.007,11
46,mCherry_D10_MET+CR_P4.tif:0322-0669,3341,10.974,1.788,11,6,18,538.076,11
47,mCherry_D10_MET+CR_P4.tif:Background,189484,9.368,1.621,9,2,25,2000,9
48,mCherry_D10_MET+CR_P5_1.tif:0193-0927,3391,12.247,2.071,12,6,21,562.509,12
49,mCherry_D10_MET+CR_P5_1.tif:Background,25334,10.824,1.623,11,5,19,690,11
50,mCherry_D10_MET+CR_P5_2.tif:0644-0673,2849,12.971,2.787,13,5,26,478.221,13
51,mCherry_D10_MET+CR_P5_2.tif:Background,13104,9.814,1.635,10,4,20,492,10
52,mCherry_D10_MET+NMN+CR_P1.tif:0456-0428,3916,12.702,2.34,12,6,23,589.281,13
53,mCherry_D10_MET+NMN+CR_P1.tif:0523-0815,3768,13.092,2.252,13,6,32,600.914,13
54,mCherry_D10_MET+NMN+CR_P1.tif:Background,77910,10.772,1.634,11,3,20,1126,11
55,mCherry_D10_MET+NMN+CR_P2.tif:0320-0357,4074,12.354,2.595,11,5,23,605.441,12
56,mCherry_D10_MET+NMN+CR_P2.tif:0943-0394,3687,12.103,2.137,12,6,20,585.458,12
57,mCherry_D10_MET+NMN+CR_P2.tif:Background,120294,10.316,1.628,10,3,27,1470,10
58,mCherry_D10_MET+NMN+CR_P3.tif:0773-0288,4559,10.108,2.461,9,3,24,603.515,10
59,mCherry_D10_MET+NMN+CR_P3.tif:0160-0943,5652,11.352,2.164,11,5,20,706.684,11
60,mCherry_D10_MET+NMN+CR_P3.tif:Background,247760,9.015,1.606,9,2,47,2172,9
61,mCherry_D10_MET+NMN+CR_P4.tif:0826-0294,4171,11.152,2.262,11,4,19,640.498,11
62,mCherry_D10_MET+NMN+CR_P4.tif:0744-0326,4067,10.473,2.139,10,4,19,653.207,10
63,mCherry_D10_MET+NMN+CR_P4.tif:0159-0679,5675,11.532,2.276,11,4,20,678.274,11
64,mCherry_D10_MET+NMN+CR_P4.tif:0156-0931,4809,11.989,2.263,12,5,21,571.31,12
65,mCherry_D10_MET+NMN+CR_P4.tif:Background,296088,9.444,1.614,9,3,49,2228,9
66,mCherry_D10_MET+NMN+CR_P5.tif:0109-0230,3886,10.528,2.269,11,3,19,565.277,10
67,mCherry_D10_MET+NMN+CR_P5.tif:0341-0279,4765,10.873,1.986,11,5,18,681.979,11
68,mCherry_D10_MET+NMN+CR_P5.tif:Background,24300,8.657,1.553,9,3,15,630,9
69,mCherry_D10_MET+NMN+CR_P5.tif:0744-1083,5329,11.935,2.285,12,4,22,652.563,12
70,mCherry_D10_MET+NMN+CR_P5.tif:Background,28990,9.906,1.655,10,3,45,706,10
71,mCherry_D10_MET+NMN_P1.tif:0877-0436,5184,14.702,2.501,14,7,25,629.989,14
72,mCherry_D10_MET+NMN_P1.tif:0503-0965,6186,15.356,2.371,15,8,31,680.616,15
73,mCherry_D10_MET+NMN_P1.tif:0108-0918,4153,15.329,2.076,15,8,24,609.253,15
74,mCherry_D10_MET+NMN_P1.tif:Background,295336,13.208,1.815,13,5,65,2174,13
75,mCherry_D10_MET+NMN_P2.tif:0477-0595,3865,2.738,0.647,3,1,6,604.253,3
76,mCherry_D10_MET+NMN_P2.tif:0481-0765,4351,2.633,0.609,3,1,5,614.149,3
77,mCherry_D10_MET+NMN_P2.tif:0820-0797,4828,2.518,0.628,2,1,5,691.788,2
78,mCherry_D10_MET+NMN_P2.tif:0822-1265,6338,2.436,0.584,2,0,5,678.559,2
79,mCherry_D10_MET+NMN_P2.tif:Background,61640,2.264,0.531,2,0,5,1974,2
80,mCherry_D10_MET+NMN_P3.tif:0504-0647,4909,15.303,2.397,15,7,25,650.566,15
81,mCherry_D10_MET+NMN_P3.tif:0637-0999,3931,15.38,2.463,15,8,30,583.499,15
82,mCherry_D10_MET+NMN_P3.tif:Background,44733,13.347,1.792,13,6,49,1028,13
83,mCherry_D10_MET+NMN_P4.tif:0652-0319,4752,13.008,2.882,12,5,25,625.09,13
84,mCherry_D10_MET+NMN_P4.tif:0468-0606,5230,12.555,2.361,12,6,27,690.325,12
85,mCherry_D10_MET+NMN_P4.tif:0877-0859,4955,12.424,2.174,12,6,22,645.436,12
86,mCherry_D10_MET+NMN_P4.tif:Background,42818,10.625,1.675,11,4,22,858,11
87,mCherry_D10_MET+NMN_P5.tif:0300-0354,5399,13.799,2.018,13,7,23,743.235,14
88,mCherry_D10_MET+NMN_P5.tif:0256-1084,4556,15.215,2.334,15,8,31,671.478,15
89,mCherry_D10_MET+NMN_P5.tif:0849-0879,4037,14.684,1.977,15,8,23,602.25,15
90,mCherry_D10_MET+NMN_P5.tif:Background,178398,12.976,1.765,13,6,47,1778,13
91,mCherry_D10_MET_P1.tif:0237-0281,5438,14.71,2.535,14,8,37,687.598,14
