Batch,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
2,mCherry_D10_Con_P1.jpg:0962-0500,3423,12.374,2.013,12,6,22,542.576,12
2,mCherry_D10_Con_P1.jpg:Background,17871,10.87,1.694,11,5,34,656,11
2,mCherry_D10_Con_P1.jpg:0425-0321,4623,13.326,1.902,13,6,23,585.737,13
2,mCherry_D10_Con_P1.jpg:0117-0664,3115,13.198,1.934,13,7,20,508.223,13
2,mCherry_D10_Con_P1.jpg:0489-0892,3926,13.624,1.942,14,7,21,578.525,14
2,mCherry_D10_Con_P1.jpg:Background,146421,12.03,1.715,12,5,25,1580,12
2,mCherry_D10_NMN+CR_P4.jpg:0519-0482,4918,11.985,2.136,11,6,22,679.626,12
2,mCherry_D10_NMN+CR_P4.jpg:0577-0704,4422,12.303,2.033,12,6,24,628.045,12
2,mCherry_D10_NMN+CR_P4.jpg:0321-0839,4526,13.014,2.321,13,5,26,671.222,13
2,mCherry_D10_NMN+CR_P4.jpg:Background,27554,10.407,1.654,10,4,30,1290,10
2,mCherry_D13_MET+NMN+CR_P5.jpg:0513-0635,3816,11.374,2.089,11,6,21,580.556,11
2,mCherry_D13_MET+NMN+CR_P5.jpg:0359-0761,3516,11.679,2.133,12,5,20,563.845,12
2,mCherry_D13_MET+NMN+CR_P5.jpg:Background,21627,10.417,1.646,10,4,49,664,10
2,mCherry_D17_Con_P4.jpg:0496-0497,3147,7.796,2.001,7,2,16,487.64,8
2,mCherry_D17_Con_P4.jpg:0483-0930,3186,8.221,2.028,8,3,19,568.429,8
2,mCherry_D17_Con_P4.jpg:0466-0909,2745,9.521,2.054,9,3,17,460.4,9
2,mCherry_D17_Con_P4.jpg:0410-0923,4206,8.48,2.112,8,2,18,607.97,8
2,mCherry_D17_Con_P4.jpg:Background,85796,6.429,1.472,6,0,24,1194,6
2,mCherry_D17_MET+CR_P1.jpg:0977-0162,2037,6.973,1.897,7,2,15,387.97,7
2,mCherry_D17_MET+CR_P1.jpg:0668-0457,3126,7.226,1.985,7,1,18,464.324,7
